TravYear,SegMode,DayType,FromStn_Short,ToStn_Short,FromStn_Long,ToStn_Long,SegDir,SegID,AvgDailyVol
2023,M,Sat,CM,VC,Commercial Drive Stn,VCC-Clark Stn,Inbound,29,1125.190823
2023,M,Sat,CM,VC,Commercial Drive Stn,VCC-Clark Stn,Outbound,29,1271.510806
2023,M,Sat,CO,NW,Columbia Stn,New Westminster Stn,Inbound,14,34452.71773
2023,M,Sat,CO,NW,Columbia Stn,New Westminster Stn,Outbound,14,32820.47728
2023,M,Sat,ED,RO,Edmonds Stn,Royal Oak Stn,Inbound,8,40191.21181
2023,M,Sat,ED,RO,Edmonds Stn,Royal Oak Stn,Outbound,8,37744.47115
2023,M,Sat,GM,RU,Gilmore Stn,Rupert Stn,Inbound,36,12769.80711
2023,M,Sat,GM,RU,Gilmore Stn,Rupert Stn,Outbound,36,11924.56133
2023,M,Sat,GV,BU,Granville Stn,Burrard Stn,Inbound,26,22466.05237
2023,M,Sat,GV,BU,Granville Stn,Burrard Stn,Outbound,26,23756.53341
2023,M,Sat,GW,SR,Gateway Stn,Scott Road Stn,Inbound,19,23213.45561
2023,M,Sat,GW,SR,Gateway Stn,Scott Road Stn,Outbound,19,22000.74798
2023,M,Sat,HO,BR,Holdom Stn,Brentwood Stn,Inbound,40,11231.07777
2023,M,Sat,HO,BR,Holdom Stn,Brentwood Stn,Outbound,40,10384.53684
2023,M,Sat,IC,MC,Inlet Centre Stn,Moody Center Stn,Inbound,72,8466.786265
2023,M,Sat,IC,MC,Inlet Centre Stn,Moody Center Stn,Outbound,72,8316.145966
2023,M,Sat,JY,TN,Joyce Stn,29th Av Stn,Inbound,67,43761.01945
2023,M,Sat,JY,TN,Joyce Stn,29th Av Stn,Outbound,67,42229.66268
2023,M,Sat,KG,SC,King George Stn,Surrey Central Stn,Inbound,25,9546.013091
2023,M,Sat,KG,SC,King George Stn,Surrey Central Stn,Outbound,25,4460.488596
2023,M,Sat,LC,SP,Lake City Way Stn,Sperling Stn,Inbound,44,9940.770372
2023,M,Sat,LC,SP,Lake City Way Stn,Sperling Stn,Outbound,44,9512.270587
2023,M,Sat,LH,BD,Lougheed Stn,Braid Stn,Inbound,53,9613.94608
2023,M,Sat,LH,BD,Lougheed Stn,Braid Stn,Outbound,53,9681.934196
2023,M,Sat,LH,PW,Lougheed Stn,Production Way Stn,Inbound,50,10596.74825
2023,M,Sat,LH,PW,Lougheed Stn,Production Way Stn,Outbound,50,10280.38642
2023,M,Sat,LL,LN,Lafarge Lake/Douglas College Stn,Lincoln Stn,Inbound,78,1472.929572
2023,M,Sat,LL,LN,Lafarge Lake/Douglas College Stn,Lincoln Stn,Outbound,78,1542.197018
2023,M,Sat,LN,CC,Lincoln Stn,Coquitlam Central Stn - Millennium,Inbound,76,4287.670682
2023,M,Sat,LN,CC,Lincoln Stn,Coquitlam Central Stn - Millennium,Outbound,76,4053.269657
2023,M,Sat,MC,BQ,Moody Center Stn,Burquitlam Stn,Inbound,70,9452.322193
2023,M,Sat,MC,BQ,Moody Center Stn,Burquitlam Stn,Outbound,70,9304.923588
2023,M,Sat,MN,ST,Main Street Stn,Stadium Stn,Inbound,57,46945.42164
2023,M,Sat,MN,ST,Main Street Stn,Stadium Stn,Outbound,57,44249.2987
2023,M,Sat,MT,PT,Metrotown Stn,Patterson Stn,Inbound,4,43102.44508
2023,M,Sat,MT,PT,Metrotown Stn,Patterson Stn,Outbound,4,41906.85233
2023,M,Sat,NA,BW,Nanaimo Stn,Commercial-Broadway Stn,Inbound,62,44795.42443
2023,M,Sat,NA,BW,Nanaimo Stn,Commercial-Broadway Stn,Outbound,62,42982.99759
2023,M,Sat,NW,TS,New Westminster Stn,22nd St Stn,Inbound,12,36034.99012
2023,M,Sat,NW,TS,New Westminster Stn,22nd St Stn,Outbound,12,34538.66917
2023,M,Sat,PT,JY,Patterson Stn,Joyce Stn,Inbound,3,43668.0592
2023,M,Sat,PT,JY,Patterson Stn,Joyce Stn,Outbound,3,42549.47417
2023,M,Sat,PW,LC,Production Way Stn,Lake City Way Stn,Inbound,48,9869.527169
2023,M,Sat,PW,LC,Production Way Stn,Lake City Way Stn,Outbound,48,9459.633961
2023,M,Sat,RE,CM,Renfrew Stn,Commercial Drive Stn,Inbound,32,14162.24979
2023,M,Sat,RE,CM,Renfrew Stn,Commercial Drive Stn,Outbound,32,12994.80455
2023,M,Sat,RO,MT,Royal Oak Stn,Metrotown Stn,Inbound,6,41877.71168
2023,M,Sat,RO,MT,Royal Oak Stn,Metrotown Stn,Outbound,6,39418.16365
2023,M,Sat,RU,RE,Rupert Stn,Renfrew Stn,Inbound,34,13520.16013
2023,M,Sat,RU,RE,Rupert Stn,Renfrew Stn,Outbound,34,12552.66269
2023,M,Sat,SA,CO,Sapperton Stn,Columbia Stn,Inbound,16,12083.31969
2023,M,Sat,SA,CO,Sapperton Stn,Columbia Stn,Outbound,16,11933.09178
2023,M,Sat,SC,GW,Surrey Central Stn,Gateway Stn,Inbound,21,20119.18557
2023,M,Sat,SC,GW,Surrey Central Stn,Gateway Stn,Outbound,21,19379.03771
2023,M,Sat,SP,HO,Sperling Stn,Holdom Stn,Inbound,42,10328.79278
2023,M,Sat,SP,HO,Sperling Stn,Holdom Stn,Outbound,42,9743.035663
2023,M,Sat,SR,CO,Scott Road Stn,Columbia Stn,Inbound,17,27702.96354
2023,M,Sat,SR,CO,Scott Road Stn,Columbia Stn,Outbound,17,26558.34027
2023,M,Sat,ST,GV,Stadium Stn,Granville Stn,Inbound,46,38442.35565
2023,M,Sat,ST,GV,Stadium Stn,Granville Stn,Outbound,46,37022.76074
2023,M,Sat,TN,NA,29th Av Stn,Nanaimo Stn,Inbound,64,44316.95908
2023,M,Sat,TN,NA,29th Av Stn,Nanaimo Stn,Outbound,64,42684.12402
2023,M,Sat,TS,ED,22nd St Stn,Edmonds Stn,Inbound,10,37056.84503
2023,M,Sat,TS,ED,22nd St Stn,Edmonds Stn,Outbound,10,34963.97837
2023,M,Sun/Hol,BD,SA,Braid Stn,Sapperton Stn,Inbound,56,8235.941049
2023,M,Sun/Hol,BD,SA,Braid Stn,Sapperton Stn,Outbound,56,8362.115592
2023,M,Sun/Hol,BQ,LH,Burquitlam Stn,Lougheed Stn,Inbound,68,7905.791261
2023,M,Sun/Hol,BQ,LH,Burquitlam Stn,Lougheed Stn,Outbound,68,8015.796475
2023,M,Sun/Hol,BR,GM,Brentwood Stn,Gilmore Stn,Inbound,38,8452.837633
2023,M,Sun/Hol,BR,GM,Brentwood Stn,Gilmore Stn,Outbound,38,8374.967231
2023,M,Sun/Hol,BU,WF,Burrard Stn,Waterfront Stn - Expo/SeaBus,Inbound,23,8748.687681
2023,M,Sun/Hol,BU,WF,Burrard Stn,Waterfront Stn - Expo/SeaBus,Outbound,23,10226.9659
2023,M,Sun/Hol,BW,CM,Commercial-Broadway Stn,Commercial Drive Stn,Inbound,59,11193.46216
2023,M,Sun/Hol,BW,CM,Commercial-Broadway Stn,Commercial Drive Stn,Outbound,59,12158.52651
2023,M,Sun/Hol,BW,MN,Commercial-Broadway Stn,Main Street Stn,Inbound,60,35689.72882
2023,M,Sun/Hol,BW,MN,Commercial-Broadway Stn,Main Street Stn,Outbound,60,35785.14348
2023,M,Sun/Hol,CC,IC,Coquitlam Central Stn - Millennium,Inlet Centre Stn,Inbound,74,5564.327713
2023,M,Sun/Hol,CC,IC,Coquitlam Central Stn - Millennium,Inlet Centre Stn,Outbound,74,5616.412184
2023,M,Sun/Hol,CM,VC,Commercial Drive Stn,VCC-Clark Stn,Inbound,29,807.0515765
2023,M,Sun/Hol,CM,VC,Commercial Drive Stn,VCC-Clark Stn,Outbound,29,887.3625641
2023,M,Sun/Hol,CO,NW,Columbia Stn,New Westminster Stn,Inbound,14,25570.78206
2023,M,Sun/Hol,CO,NW,Columbia Stn,New Westminster Stn,Outbound,14,24781.57015
